customerid,subscription_type,contract_length,usage_frequency,support_calls,payment_delay
229,Premium,Quarterly,25,1,26
230,Standard,Quarterly,20,0,20
231,Standard,Annual,1,10,30
232,Basic,Annual,5,4,17
233,Basic,Quarterly,2,4,9
234,Premium,Quarterly,5,4,23
235,Premium,Annual,15,3,27
236,Premium,Monthly,9,2,0
237,Standard,Monthly,29,8,5
238,Premium,Annual,23,3,21
239,Basic,Monthly,26,5,27
240,Basic,Annual,7,1,8
241,Basic,Monthly,17,7,19
242,Premium,Annual,24,1,16
243,Premium,Quarterly,3,6,1
244,Basic,Monthly,28,4,26
245,Basic,Monthly,13,6,9
246,Standard,Quarterly,14,8,2
247,Standard,Annual,18,6,14
248,Standard,Quarterly,15,7,18
249,Standard,Annual,27,1,30
250,Premium,Annual,2,1,13
251,Premium,Monthly,8,7,28
252,Premium,Monthly,27,8,15
253,Basic,Quarterly,21,5,18
254,Premium,Annual,15,10,24
255,Basic,Quarterly,20,1,13
256,Premium,Quarterly,30,1,28
257,Standard,Quarterly,22,6,29
258,Premium,Monthly,21,5,13
259,Standard,Annual,14,6,22
260,Premium,Quarterly,19,0,10
261,Standard,Monthly,1,4,22
262,Basic,Quarterly,6,8,17
263,Standard,Quarterly,18,4,13
264,Standard,Monthly,27,6,11
265,Basic,Quarterly,18,4,27
266,Premium,Annual,26,0,27
267,Standard,Annual,18,6,18
268,Premium,Quarterly,10,5,18
269,Premium,Monthly,15,8,8
270,Premium,Monthly,19,2,2
271,Basic,Monthly,16,0,8
272,Basic,Quarterly,28,1,17
273,Basic,Annual,8,7,8
274,Premium,Monthly,20,0,8
275,Basic,Quarterly,10,5,11
276,Premium,Monthly,9,5,9
277,Standard,Quarterly,27,6,30
278,Premium,Monthly,29,10,30
279,Premium,Annual,4,10,9
280,Standard,Quarterly,13,6,27
281,Standard,Quarterly,28,3,6
282,Premium,Annual,14,5,16
283,Premium,Annual,22,2,3
284,Standard,Monthly,15,4,18
285,Premium,Monthly,11,0,21
286,Basic,Annual,18,10,15
287,Premium,Annual,5,2,3
288,Basic,Annual,8,2,30
289,Standard,Annual,1,3,21
290,Premium,Quarterly,22,0,24
291,Standard,Quarterly,30,4,28
292,Premium,Annual,7,8,29
293,Premium,Annual,4,6,1
294,Standard,Annual,8,3,28
295,Basic,Quarterly,12,5,14
296,Basic,Monthly,27,0,19
297,Basic,Quarterly,28,4,26
298,Basic,Annual,6,1,17
299,Standard,Monthly,10,6,27
300,Premium,Quarterly,26,5,24
301,Basic,Annual,14,4,7
302,Premium,Quarterly,26,3,5
303,Basic,Monthly,19,9,11
304,Premium,Monthly,2,5,3
305,Standard,Annual,24,8,3
306,Premium,Quarterly,18,4,24
307,Standard,Monthly,18,10,18
308,Standard,Monthly,27,0,5
309,Basic,Monthly,26,9,3
310,Standard,Annual,30,1,7
311,Standard,Quarterly,23,3,30
312,Basic,Annual,8,0,1
313,Basic,Annual,5,10,4
314,Standard,Monthly,16,0,7
315,Basic,Annual,17,7,8
316,Basic,Annual,28,1,21
317,Premium,Quarterly,18,5,4
318,Standard,Quarterly,6,5,0
319,Basic,Monthly,19,10,23
320,Premium,Quarterly,7,10,19
321,Premium,Quarterly,30,4,5
322,Basic,Monthly,1,0,22
323,Premium,Monthly,21,3,11
324,Standard,Annual,10,8,0
325,Standard,Monthly,11,2,24
326,Standard,Monthly,3,2,24
327,Standard,Annual,1,0,5
328,Standard,Annual,11,7,20
329,Premium,Annual,5,8,17
330,Standard,Annual,30,10,21
331,Premium,Monthly,17,5,10
332,Standard,Monthly,9,8,10
333,Standard,Monthly,22,7,23
334,Standard,Annual,24,4,30
335,Basic,Annual,26,8,27
336,Basic,Annual,22,5,12
337,Premium,Monthly,5,5,4
338,Basic,Monthly,18,2,18
339,Standard,Quarterly,30,8,10
340,Basic,Monthly,11,8,26
341,Premium,Monthly,21,6,16
342,Standard,Monthly,10,8,7
343,Basic,Monthly,14,3,9
344,Basic,Annual,5,7,22
345,Premium,Monthly,20,8,16
346,Standard,Annual,21,10,27
347,Premium,Quarterly,8,4,8
348,Premium,Annual,29,6,6
349,Premium,Monthly,23,1,6
350,Premium,Monthly,18,6,5
351,Basic,Quarterly,3,8,4
352,Standard,Quarterly,15,2,28
353,Basic,Annual,4,5,25
354,Standard,Quarterly,28,9,8
355,Basic,Monthly,30,7,14
356,Basic,Quarterly,29,6,0
357,Basic,Annual,8,7,16
358,Premium,Monthly,7,2,1
359,Standard,Monthly,6,1,25
360,Premium,Monthly,11,2,12
361,Premium,Monthly,20,7,22
362,Basic,Quarterly,24,6,18
363,Basic,Monthly,17,2,14
364,Premium,Quarterly,26,6,0
365,Premium,Quarterly,7,3,25
366,Standard,Monthly,24,7,10
367,Basic,Annual,8,10,7
368,Premium,Quarterly,1,2,1
369,Standard,Monthly,11,7,10
370,Standard,Monthly,6,1,24
371,Basic,Annual,30,6,1
372,Premium,Annual,28,5,17
373,Standard,Monthly,25,1,11
374,Standard,Quarterly,5,0,8
375,Premium,Quarterly,15,1,17
376,Premium,Quarterly,30,7,22
377,Standard,Quarterly,23,9,28
378,Basic,Quarterly,11,5,23
379,Basic,Monthly,25,3,23
380,Premium,Quarterly,8,5,1
381,Basic,Annual,5,2,10
382,Basic,Annual,7,2,23
383,Premium,Annual,17,4,25
384,Basic,Annual,18,1,11
385,Premium,Annual,14,3,22
386,Premium,Quarterly,15,10,27
387,Standard,Monthly,21,2,17
388,Basic,Monthly,12,4,26
389,Basic,Monthly,21,9,6
390,Standard,Monthly,27,0,1
391,Premium,Monthly,28,5,9
392,Standard,Annual,6,1,17
393,Premium,Annual,18,1,13
394,Basic,Quarterly,11,9,6
395,Standard,Annual,2,3,16
396,Premium,Annual,5,10,7
397,Standard,Quarterly,30,7,5
398,Premium,Quarterly,24,2,24
399,Premium,Annual,7,5,26
400,Premium,Quarterly,17,7,23
401,Basic,Annual,24,3,13
402,Basic,Monthly,6,2,15
403,Basic,Annual,5,1,17
404,Basic,Monthly,3,0,8
405,Premium,Annual,30,4,4
406,Premium,Annual,17,3,23
407,Basic,Annual,24,5,10
408,Premium,Annual,30,0,7
409,Standard,Monthly,5,6,21
410,Premium,Annual,11,4,19
411,Standard,Annual,26,3,1
412,Standard,Quarterly,1,5,9
413,Standard,Quarterly,10,4,5
414,Premium,Annual,30,6,3
415,Premium,Annual,4,5,21
416,Basic,Monthly,10,7,20
417,Standard,Annual,8,1,20
418,Premium,Quarterly,29,0,13
419,Premium,Annual,1,9,24
420,Standard,Annual,23,0,9
421,Standard,Monthly,27,6,2
422,Basic,Quarterly,4,3,8
423,Basic,Annual,3,2,20
424,Standard,Annual,22,5,25
425,Premium,Quarterly,3,7,20
426,Basic,Monthly,3,6,19
427,Basic,Monthly,4,1,22
428,Standard,Quarterly,5,6,30
429,Standard,Monthly,28,0,1
430,Standard,Quarterly,24,2,13
431,Basic,Monthly,15,9,17
432,Premium,Annual,28,7,0
433,Basic,Annual,19,4,26
434,Premium,Quarterly,24,6,4
435,Premium,Quarterly,2,7,13
436,Basic,Quarterly,2,5,2
437,Premium,Monthly,1,5,20
438,Premium,Monthly,28,0,22
439,Premium,Monthly,13,3,19
440,Basic,Monthly,6,4,6
441,Basic,Quarterly,21,10,21
442,Basic,Quarterly,15,10,6
443,Standard,Annual,27,8,18
444,Basic,Annual,10,7,28
445,Standard,Annual,21,8,17
446,Premium,Quarterly,26,2,20
447,Premium,Annual,21,8,26
448,Premium,Quarterly,5,1,0
449,Standard,Monthly,6,10,26
450,Standard,Annual,4,10,21
451,Standard,Quarterly,15,2,6
452,Premium,Monthly,25,10,24
453,Premium,Quarterly,24,4,24
454,Standard,Monthly,9,3,5
455,Premium,Monthly,25,6,2
456,Standard,Quarterly,24,4,28
457,Standard,Annual,7,9,20
458,Premium,Annual,9,5,8
459,Basic,Annual,15,8,30
460,Basic,Monthly,16,10,11
461,Premium,Annual,29,5,10
462,Premium,Annual,9,9,17
463,Premium,Quarterly,5,7,22
464,Basic,Monthly,25,1,26
465,Premium,Quarterly,29,3,18
466,Standard,Annual,23,0,19
467,Standard,Annual,6,9,29
468,Basic,Quarterly,3,2,29
469,Standard,Quarterly,7,6,22
470,Basic,Quarterly,6,2,12
471,Basic,Annual,19,9,11
472,Standard,Quarterly,30,7,1
473,Basic,Annual,8,4,10
474,Premium,Monthly,27,6,12
475,Standard,Quarterly,1,6,27
476,Standard,Monthly,8,9,8
477,Basic,Annual,30,0,0
478,Standard,Quarterly,24,1,25
479,Basic,Monthly,8,4,26
480,Premium,Monthly,30,1,4
481,Standard,Annual,7,8,8
482,Basic,Monthly,8,6,0
483,Basic,Monthly,8,7,3
484,Standard,Monthly,6,2,16
485,Premium,Annual,30,0,23
486,Standard,Annual,17,6,22
487,Basic,Annual,30,4,7
488,Standard,Quarterly,19,2,7
489,Basic,Annual,18,4,30
490,Premium,Quarterly,6,3,15
491,Premium,Monthly,22,3,16
492,Standard,Annual,30,2,30
493,Basic,Quarterly,4,2,25
494,Standard,Quarterly,25,8,19
495,Premium,Monthly,26,1,18
496,Basic,Monthly,16,9,7
497,Standard,Quarterly,15,1,24
498,Standard,Annual,3,1,14
499,Premium,Quarterly,15,0,2
500,Standard,Quarterly,24,8,30
501,Standard,Annual,8,2,14
502,Basic,Annual,30,7,25
503,Premium,Annual,2,7,3
504,Basic,Annual,20,0,17
505,Basic,Monthly,6,1,28
506,Standard,Quarterly,18,0,5
507,Premium,Monthly,15,6,9
508,Standard,Quarterly,30,8,14
509,Standard,Monthly,11,8,29
510,Premium,Annual,23,9,11
511,Standard,Monthly,28,0,27
512,Basic,Quarterly,9,1,29
513,Premium,Monthly,14,7,16
514,Standard,Annual,11,0,11
515,Basic,Annual,18,2,14
516,Premium,Monthly,15,3,13
517,Premium,Quarterly,1,8,16
518,Basic,Quarterly,13,6,6
519,Premium,Quarterly,2,4,20
520,Basic,Annual,11,3,27
521,Basic,Annual,2,8,21
522,Standard,Annual,1,4,2
523,Premium,Monthly,11,6,14
524,Basic,Monthly,8,0,23
525,Standard,Quarterly,13,8,12
526,Standard,Annual,24,5,10
527,Standard,Quarterly,8,0,21
528,Standard,Monthly,24,1,4
529,Premium,Monthly,15,9,13
530,Standard,Annual,1,5,6
531,Basic,Annual,10,0,0
532,Premium,Quarterly,3,7,0
533,Premium,Annual,15,5,10
534,Premium,Annual,4,6,30
535,Standard,Quarterly,21,0,27
536,Standard,Monthly,19,8,15
537,Premium,Quarterly,15,7,13
538,Premium,Monthly,15,0,22
539,Standard,Monthly,22,9,5
540,Standard,Quarterly,29,8,3
541,Standard,Quarterly,8,7,12
542,Basic,Quarterly,18,3,30
543,Premium,Quarterly,7,3,23
544,Premium,Monthly,8,0,28
545,Premium,Annual,11,10,1
546,Standard,Monthly,10,1,27
547,Standard,Annual,2,6,8
548,Standard,Quarterly,11,8,11
549,Premium,Monthly,1,2,16
550,Standard,Annual,23,3,7
551,Premium,Monthly,29,6,1
552,Premium,Quarterly,15,2,25
553,Standard,Annual,29,4,19
554,Standard,Monthly,29,2,16
555,Standard,Annual,14,7,30
556,Standard,Annual,30,5,28
557,Premium,Annual,2,1,7
558,Basic,Monthly,6,8,22
559,Premium,Annual,29,3,5
560,Basic,Monthly,9,5,23
561,Standard,Annual,11,6,24
562,Standard,Quarterly,23,8,21
563,Standard,Monthly,21,8,11
564,Standard,Monthly,4,9,25
565,Premium,Annual,9,2,12
566,Standard,Annual,2,4,11
567,Standard,Quarterly,16,10,15
568,Basic,Annual,13,3,14
569,Standard,Annual,8,4,28
570,Standard,Quarterly,16,3,3
571,Premium,Quarterly,12,10,6
572,Standard,Monthly,17,6,27
573,Premium,Annual,13,6,15
574,Premium,Quarterly,9,10,4
575,Basic,Quarterly,21,10,14
576,Basic,Annual,26,0,7
577,Standard,Monthly,3,2,30
578,Premium,Quarterly,23,1,5
579,Basic,Monthly,2,4,7
580,Premium,Quarterly,12,4,5
581,Premium,Monthly,8,1,23
582,Basic,Quarterly,21,8,15
583,Premium,Annual,22,10,5
584,Premium,Quarterly,12,8,2
585,Basic,Quarterly,3,8,18
586,Standard,Monthly,17,5,10
587,Standard,Quarterly,21,8,17
588,Standard,Monthly,11,5,6
589,Standard,Monthly,14,2,29
590,Premium,Monthly,2,0,3
591,Basic,Monthly,5,3,19
592,Premium,Annual,24,10,19
593,Basic,Annual,23,0,10
594,Premium,Quarterly,7,2,24
595,Premium,Annual,5,0,12
596,Premium,Quarterly,28,7,2
597,Standard,Annual,10,3,4
598,Premium,Annual,28,7,10
599,Standard,Quarterly,12,4,25
600,Standard,Quarterly,12,10,6
601,Premium,Monthly,23,5,19
602,Premium,Quarterly,26,10,6
603,Standard,Monthly,20,3,13
604,Premium,Monthly,7,4,29
605,Basic,Quarterly,5,3,8
606,Basic,Monthly,6,8,17
607,Premium,Quarterly,11,1,0
608,Standard,Annual,25,9,30
609,Premium,Quarterly,9,2,17
610,Basic,Quarterly,21,5,24
611,Basic,Monthly,4,7,26
612,Basic,Annual,26,3,20
613,Premium,Annual,26,6,23
614,Premium,Quarterly,16,9,7
615,Premium,Quarterly,11,9,3
616,Premium,Monthly,4,1,18
617,Basic,Quarterly,24,10,10
618,Premium,Annual,16,9,14
619,Basic,Monthly,11,7,3
620,Basic,Annual,11,7,15
621,Premium,Quarterly,1,0,27
622,Basic,Annual,18,0,13
623,Premium,Monthly,24,9,15
624,Basic,Monthly,1,6,26
625,Basic,Monthly,28,7,0
626,Standard,Monthly,19,5,3
627,Premium,Monthly,28,4,13
628,Basic,Quarterly,11,5,14
629,Premium,Quarterly,12,5,21
630,Premium,Annual,12,9,28
631,Premium,Monthly,26,8,25
632,Basic,Quarterly,29,6,13
633,Premium,Monthly,7,9,12
634,Standard,Monthly,18,8,18
635,Standard,Annual,29,5,19
636,Premium,Annual,22,1,1
637,Basic,Monthly,3,8,3
638,Basic,Monthly,17,6,6
639,Standard,Annual,14,8,23
640,Basic,Quarterly,3,8,30
641,Premium,Monthly,6,2,0
642,Premium,Quarterly,15,2,0
643,Premium,Quarterly,11,1,1
644,Standard,Annual,10,4,24
645,Premium,Monthly,19,0,3
646,Premium,Annual,3,9,25
647,Standard,Annual,4,5,25
648,Standard,Monthly,9,8,1
649,Basic,Quarterly,25,5,17
650,Basic,Quarterly,20,7,26
651,Standard,Quarterly,20,2,28
652,Standard,Annual,30,0,10
653,Standard,Quarterly,12,0,1
654,Premium,Monthly,14,9,14
655,Standard,Annual,8,9,4
656,Standard,Annual,15,5,22
657,Basic,Monthly,9,10,19
658,Premium,Monthly,30,6,11
659,Standard,Annual,15,9,15
660,Standard,Annual,30,1,15
661,Premium,Annual,8,2,8
662,Premium,Annual,25,1,23
663,Standard,Monthly,12,7,22
664,Basic,Quarterly,17,0,12
665,Basic,Quarterly,4,2,2
666,Basic,Quarterly,19,6,4
667,Premium,Quarterly,5,3,20
668,Premium,Quarterly,12,8,10
669,Premium,Monthly,13,2,28
670,Standard,Quarterly,2,9,4
671,Standard,Monthly,6,6,19
672,Premium,Quarterly,8,10,30
673,Premium,Quarterly,9,8,21
674,Standard,Quarterly,24,4,9
675,Basic,Quarterly,29,0,29
676,Premium,Annual,6,10,10
677,Premium,Quarterly,8,1,9
678,Basic,Quarterly,6,8,4
679,Standard,Quarterly,24,9,2
680,Basic,Quarterly,21,3,22
681,Premium,Annual,15,6,16
682,Basic,Monthly,4,5,7
683,Premium,Quarterly,2,9,3
684,Premium,Monthly,26,3,14
685,Standard,Monthly,4,2,20
686,Premium,Annual,2,3,1
687,Premium,Monthly,27,5,30
688,Standard,Quarterly,14,3,19
689,Basic,Annual,28,5,4
690,Premium,Annual,28,0,25
691,Standard,Quarterly,15,5,24
692,Basic,Quarterly,26,3,6
693,Premium,Monthly,3,8,4
694,Basic,Monthly,24,2,17
695,Premium,Annual,29,0,19
696,Standard,Quarterly,5,9,0
697,Basic,Quarterly,9,7,27
698,Standard,Annual,16,5,12
699,Basic,Monthly,19,7,0
700,Basic,Quarterly,10,6,15
701,Premium,Annual,6,5,29
702,Premium,Monthly,21,0,6
703,Basic,Monthly,26,3,9
704,Standard,Monthly,6,1,2
705,Basic,Monthly,21,7,7
706,Basic,Monthly,2,3,24
707,Basic,Monthly,10,9,28
708,Basic,Annual,9,3,12
709,Basic,Annual,11,4,9
710,Standard,Monthly,19,7,20
711,Standard,Monthly,29,1,4
712,Premium,Quarterly,29,7,26
713,Standard,Quarterly,16,6,12
714,Standard,Quarterly,11,8,0
715,Basic,Quarterly,28,7,19
716,Basic,Annual,13,8,24
717,Premium,Annual,10,9,15
718,Premium,Quarterly,22,3,14
719,Standard,Quarterly,5,6,16
720,Basic,Annual,2,7,7
721,Standard,Monthly,10,4,15
722,Basic,Monthly,5,5,29
723,Standard,Quarterly,24,4,26
724,Premium,Quarterly,10,0,9
725,Basic,Annual,21,9,1
726,Standard,Quarterly,28,10,9
727,Basic,Annual,26,3,28
728,Premium,Quarterly,7,4,30
729,Standard,Monthly,23,6,9
730,Standard,Quarterly,13,1,23
731,Premium,Annual,4,10,11
732,Basic,Quarterly,15,0,22
733,Basic,Quarterly,20,10,18
734,Standard,Monthly,8,3,28
735,Basic,Annual,6,1,0
736,Basic,Monthly,7,8,14
737,Premium,Annual,5,7,5
738,Standard,Quarterly,17,9,0
739,Standard,Quarterly,25,0,25
740,Standard,Quarterly,24,3,3
741,Premium,Monthly,26,2,12
742,Premium,Quarterly,4,7,20
743,Basic,Quarterly,18,7,15
744,Premium,Annual,27,4,23
745,Premium,Quarterly,30,5,8
746,Standard,Annual,8,0,13
747,Basic,Annual,24,2,25
748,Basic,Monthly,24,10,9
749,Basic,Quarterly,7,7,7
750,Standard,Monthly,24,4,27
751,Basic,Quarterly,18,1,11
752,Premium,Monthly,28,6,7
753,Premium,Quarterly,22,10,14
754,Basic,Monthly,14,3,21
755,Premium,Annual,3,1,24
756,Standard,Annual,20,3,21
757,Premium,Quarterly,24,1,23
758,Premium,Quarterly,17,5,25
759,Basic,Annual,14,7,11
760,Premium,Monthly,5,10,9
761,Standard,Annual,23,8,2
762,Basic,Annual,7,1,30
763,Basic,Annual,8,0,25
764,Basic,Annual,7,4,14
765,Premium,Quarterly,3,5,19
766,Standard,Quarterly,9,8,11
767,Standard,Annual,6,1,29
768,Basic,Monthly,8,9,21
769,Basic,Monthly,25,3,6
770,Standard,Annual,14,6,24
771,Basic,Annual,15,9,20
772,Basic,Annual,15,8,17
773,Premium,Monthly,5,7,2
774,Premium,Annual,6,9,26
775,Standard,Quarterly,19,1,23
776,Premium,Quarterly,13,6,24
777,Standard,Annual,26,9,21
778,Premium,Monthly,1,5,19
779,Basic,Quarterly,16,3,17
780,Standard,Annual,30,1,12
781,Basic,Quarterly,24,0,11
782,Basic,Annual,27,1,17
783,Premium,Annual,5,8,24
784,Standard,Annual,7,2,3
785,Standard,Quarterly,30,2,22
786,Standard,Monthly,2,4,23
787,Basic,Annual,26,1,15
788,Standard,Quarterly,14,6,22
789,Premium,Monthly,25,8,13
790,Standard,Monthly,12,5,24
791,Basic,Annual,11,3,30
792,Basic,Quarterly,12,1,23
793,Basic,Annual,2,7,0
794,Standard,Quarterly,29,3,29
795,Premium,Quarterly,22,5,24
796,Basic,Monthly,19,0,0
797,Standard,Quarterly,24,4,4
798,Basic,Quarterly,29,2,19
799,Basic,Monthly,12,7,24
800,Premium,Monthly,22,3,4
801,Basic,Annual,8,10,1
802,Standard,Quarterly,2,8,5
803,Basic,Quarterly,25,0,7
804,Premium,Monthly,25,5,18
805,Standard,Monthly,4,7,1
806,Basic,Quarterly,9,0,7
807,Standard,Monthly,10,6,15
808,Basic,Quarterly,2,9,9
809,Standard,Quarterly,9,7,25
810,Premium,Annual,5,1,27
811,Standard,Monthly,23,10,12
812,Premium,Quarterly,17,10,13
813,Premium,Annual,29,8,18
814,Standard,Monthly,14,2,10
815,Standard,Quarterly,4,7,5
816,Basic,Quarterly,13,3,10
817,Basic,Quarterly,3,9,22
818,Premium,Monthly,14,4,10
819,Premium,Quarterly,12,2,22
