customerid,tenure,total_spend,last_interaction
406,27,328,23
407,41,524,13
408,60,494,19
409,49,292,14
410,9,999,2
411,45,927,9
412,51,415,3
413,56,444,9
414,25,425,29
415,16,233,21
416,21,968,18
417,11,534,27
418,58,238,29
419,34,190,16
420,43,421,13
421,29,653,8
422,30,536,27
423,31,406,13
424,24,665,20
425,8,412,26
426,43,165,23
427,18,272,29
428,52,271,29
429,12,233,27
430,36,535,1
431,58,317,2
432,36,775,11
433,9,805,21
434,29,675,21
435,33,190,9
436,58,524,4
437,34,790,10
438,47,548,1
439,23,966,19
440,25,590,2
441,1,271,21
442,7,921,14
443,7,776,16
444,9,383,5
445,1,360,28
446,45,676,11
447,6,948,3
448,33,982,13
449,44,291,15
450,21,900,4
451,27,907,9
452,49,865,23
453,30,346,29
454,31,158,10
455,1,474,2
456,2,846,28
457,53,307,8
458,52,788,19
459,55,611,16
460,1,583,20
461,30,447,30
462,1,337,30
463,58,848,6
464,35,228,15
465,13,642,18
466,49,168,14
467,38,284,29
468,56,792,12
469,3,466,6
470,21,823,8
471,30,121,3
472,30,350,8
473,49,880,14
474,19,992,12
475,32,336,25
476,40,562,17
477,53,521,1
478,60,681,27
479,59,409,20
480,15,690,20
481,49,751,5
482,24,191,17
483,11,649,20
484,20,445,29
485,25,641,4
486,24,489,12
487,36,362,2
488,11,612,8
489,19,814,20
490,48,183,17
491,52,494,17
492,44,844,23
493,22,735,15
494,16,804,19
495,38,318,5
496,60,494,5
497,44,109,5
498,37,457,15
499,24,755,15
500,34,948,30
501,43,323,7
502,7,978,29
503,21,312,8
504,27,399,4
505,24,388,15
506,8,447,19
507,39,912,12
508,33,543,27
509,7,441,10
510,25,314,21
511,26,523,29
512,32,752,14
513,45,440,7
514,52,478,11
515,23,625,6
516,24,770,11
517,48,317,12
518,15,493,25
519,52,851,9
520,54,389,27
521,29,344,17
522,9,590,26
523,15,152,14
524,56,833,11
525,13,439,18
526,15,831,13
527,53,745,9
528,10,919,15
529,20,704,3
530,11,373,23
531,52,974,8
532,59,956,27
533,32,849,27
534,13,857,22
535,57,648,19
536,17,182,19
537,4,344,23
538,50,913,9
539,22,534,17
540,12,619,10
541,46,891,6
542,5,569,25
543,40,752,13
544,5,880,3
545,59,970,16
546,11,155,8
547,20,230,23
548,60,805,26
549,10,328,20
550,49,166,12
551,5,976,22
552,26,654,30
553,39,780,2
554,3,936,4
555,33,482,24
556,3,647,12
557,43,186,11
558,16,845,8
559,60,523,4
560,38,885,16
561,55,993,18
562,38,569,7
563,14,334,13
564,44,293,1
565,5,447,2
566,57,534,17
567,3,158,7
568,12,701,27
569,6,536,8
570,45,457,29
571,12,801,9
572,4,133,25
573,42,206,17
574,53,636,8
575,21,125,5
576,18,471,20
577,44,748,20
578,20,501,6
579,20,104,8
580,27,512,25
581,22,554,28
582,26,710,3
583,59,722,23
584,34,580,5
585,58,634,11
586,19,668,26
587,39,821,24
588,7,724,29
589,52,685,5
590,8,990,30
591,2,760,16
592,33,282,29
593,56,905,5
594,13,476,10
595,8,192,10
596,54,400,5
597,15,289,3
598,24,705,27
599,46,330,8
600,49,784,6
601,2,553,1
602,12,507,15
603,22,113,11
604,58,379,9
605,52,415,20
606,1,577,28
607,15,265,25
608,51,267,15
609,42,287,17
610,15,495,8
611,42,416,22
612,7,854,10
613,33,196,5
614,53,470,9
615,42,618,16
616,8,245,12
617,20,377,26
618,54,317,9
619,35,970,16
620,24,198,25
621,50,962,17
622,17,371,5
623,32,586,4
624,51,363,18
625,59,475,19
626,3,338,15
627,6,493,20
628,47,947,15
629,11,287,22
630,44,935,9
631,30,338,21
632,56,131,11
633,6,553,13
634,22,202,16
635,49,221,23
636,44,913,18
637,30,652,16
638,55,747,5
639,51,559,30
640,38,973,20
641,6,188,13
642,4,846,2
643,39,413,8
644,19,742,28
645,40,520,2
646,44,431,7
647,26,935,6
648,4,903,6
649,27,181,21
650,32,908,3
651,52,859,3
652,46,924,3
653,40,858,26
654,47,659,26
655,41,955,19
656,15,584,15
657,35,686,24
658,55,591,13
659,43,851,1
660,5,934,21
661,28,174,14
662,58,111,17
663,37,369,23
664,23,601,28
665,39,861,27
666,43,306,13
667,10,536,4
668,16,855,2
669,47,833,13
670,13,758,23
671,28,340,15
672,23,314,27
673,5,247,26
674,60,726,16
675,52,779,2
676,19,231,13
677,12,756,4
678,28,519,11
679,13,132,29
680,27,608,25
681,49,796,1
682,16,873,24
683,53,218,9
684,47,126,10
685,39,311,23
686,39,997,20
687,37,882,2
688,51,720,30
689,18,589,17
690,46,581,25
691,17,853,25
692,27,969,7
693,46,681,7
694,52,996,27
695,6,267,21
696,49,884,7
697,27,462,22
698,25,702,3
699,14,309,26
700,33,519,15
701,6,187,18
702,3,769,30
703,58,248,8
704,47,483,7
705,4,948,17
706,60,293,8
707,29,827,23
708,25,640,17
709,34,804,21
710,16,496,6
711,8,374,5
712,51,867,11
713,34,769,17
714,56,873,30
715,42,109,24
716,4,106,19
717,14,824,16
718,11,610,5
719,21,369,22
720,27,731,30
721,30,924,6
722,38,211,18
723,12,184,15
724,22,328,14
725,60,339,27
726,45,350,29
727,38,285,7
728,41,473,19
729,52,946,20
730,46,937,22
731,29,554,13
732,48,727,18
733,38,467,27
734,8,533,17
735,6,853,19
736,53,140,20
737,22,573,10
738,41,369,24
739,46,866,22
740,21,349,13
741,14,649,1
742,9,981,8
743,29,648,12
744,39,292,22
745,23,383,16
746,8,302,7
747,48,760,14
748,58,908,27
749,55,335,8
750,16,788,10
751,53,337,16
752,29,564,18
753,9,274,29
754,6,912,16
755,53,605,18
756,10,507,8
757,53,300,22
758,51,751,5
759,3,857,19
760,58,935,29
761,51,724,14
762,17,606,21
763,13,791,4
764,25,592,27
765,23,980,11
766,30,299,30
767,26,714,30
768,58,675,7
769,43,298,1
770,24,150,3
771,12,292,23
772,24,428,17
773,25,712,24
774,23,224,14
775,48,401,17
776,26,415,14
777,37,494,25
778,4,261,10
779,50,988,12
780,48,261,2
781,60,536,10
782,44,586,7
783,58,660,16
784,45,927,8
785,51,537,14
786,33,337,7
787,15,622,13
788,42,820,13
789,40,721,7
790,31,578,4
791,40,994,20
792,60,358,16
793,54,231,29
794,26,625,13
795,56,183,29
796,12,793,23
797,18,731,2
798,33,850,2
799,3,961,12
800,18,971,30
801,9,668,21
802,2,963,17
803,17,973,25
804,16,420,28
805,1,919,5
806,6,651,16
807,46,361,27
808,37,284,28
809,51,999,2
810,46,571,10
811,41,219,25
812,4,903,4
813,32,679,4
814,52,687,11
815,23,429,3
816,24,942,20
817,1,376,22
818,21,909,15
819,43,216,2
820,10,119,22
821,56,509,18
822,42,636,26
823,17,436,7
824,34,741,20
825,30,405,22
826,32,795,11
827,24,111,24
828,8,772,16
829,17,839,27
830,27,251,29
831,23,562,8
832,1,921,26
833,60,222,11
834,9,416,24
835,54,597,9
836,13,857,7
837,44,928,27
838,34,805,12
839,31,122,24
840,6,823,6
841,13,374,15
842,59,126,17
843,36,547,4
844,15,468,21
845,28,761,13
846,8,400,12
847,13,735,20
848,23,538,10
849,20,629,23
850,51,718,14
851,33,430,17
852,19,391,2
853,44,619,19
854,56,509,9
855,51,376,8
856,30,971,5
857,7,970,11
858,51,212,28
859,17,182,14
860,56,392,7
861,47,454,6
862,18,251,22
863,26,270,5
864,36,925,3
865,16,823,1
866,33,622,26
867,54,764,7
868,14,980,24
869,15,284,12
870,49,874,16
871,4,981,8
872,59,778,13
873,37,388,23
874,36,654,16
875,15,973,12
876,25,644,12
877,58,631,28
878,58,664,23
879,35,835,2
880,1,737,19
881,13,499,15
882,25,113,27
883,50,389,5
884,5,447,15
885,13,827,2
886,59,846,21
887,56,913,7
888,28,693,5
889,46,591,7
890,22,229,22
891,44,851,5
892,59,581,29
893,29,684,7
894,25,760,6
895,12,174,7
896,45,226,30
897,19,270,24
898,54,550,2
899,33,682,18
900,42,931,13
901,53,879,2
902,17,296,5
903,47,213,11
904,60,831,23
905,52,572,3
906,19,938,3
907,39,751,30
908,2,798,7
909,39,840,24
910,8,884,23
911,45,646,5
912,26,662,2
913,27,621,29
914,31,822,4
915,13,788,24
916,50,962,16
917,48,446,6
918,55,597,4
919,57,258,11
920,21,721,20
921,53,939,24
922,28,297,30
923,19,435,22
924,24,955,24
925,7,138,19
926,2,823,3
927,26,528,8
928,10,204,24
929,27,888,22
930,4,186,14
931,24,509,2
932,18,293,6
933,46,228,21
934,35,373,12
935,33,124,18
936,55,154,30
937,2,326,23
938,50,542,18
939,57,777,8
940,17,790,21
941,35,806,6
942,40,476,13
943,54,814,29
944,4,540,27
945,54,461,30
946,59,418,4
947,30,726,25
948,60,503,2
949,23,914,2
950,17,410,20
951,11,607,19
952,17,433,29
953,17,906,20
954,38,650,13
955,45,551,22
956,30,934,4
957,17,846,12
958,44,863,1
959,43,543,6
960,36,487,27
961,21,408,10
962,13,305,7
963,44,751,22
964,19,959,10
965,18,742,6
966,40,370,20
967,33,497,5
968,14,233,3
969,39,838,5
970,8,964,12
971,37,566,19
972,43,970,26
973,42,373,23
974,55,189,28
975,20,802,12
976,60,428,28
977,37,298,16
978,10,931,13
979,47,842,30
980,44,461,19
981,16,966,8
982,34,738,8
983,23,115,11
984,51,268,25
985,9,915,11
986,17,155,30
987,52,835,1
988,29,455,22
989,36,534,1
990,9,767,8
991,33,515,5
992,60,908,2
993,43,479,1
994,40,546,13
995,56,675,22
996,39,344,3
997,37,159,28
998,33,850,6
999,34,271,28
1000,17,732,12
1001,28,674,2
1002,34,522,29
1003,28,450,18
1004,56,281,25
1005,32,856,29
1006,56,771,23
1007,26,737,15
1008,28,351,29
1009,31,465,8
1010,32,492,19
1011,60,740,10
1012,24,139,23
1013,17,531,22
1014,3,163,3
1015,42,675,3
1016,39,558,5
1017,7,277,30
1018,36,714,8
1019,51,131,3
1020,26,856,20
1021,1,422,5
1022,26,921,10
1023,12,779,12
1024,59,647,16
1025,22,326,7
1026,10,851,18
1027,52,779,30
1028,23,509,30
1029,11,568,28
1030,15,189,13
1031,48,196,28
1032,2,799,30
1033,26,648,27
1034,49,623,13
1035,29,267,3
1036,49,648,16
1037,13,197,5
1038,29,812,22
1039,23,232,23
1040,50,377,20
1041,37,997,20
1042,58,168,26
1043,10,261,7
1044,45,813,25
1045,51,804,25
1046,41,179,5
1047,3,805,19
1048,29,354,15
1049,25,451,16
1050,32,147,4
1051,34,328,30
1052,23,676,14
1053,55,861,4
1054,59,889,5
1055,2,412,7
1056,34,930,25
1057,51,674,7
1058,30,863,15
1059,25,735,27
1060,44,113,14
1061,11,716,24
1062,44,948,21
1063,54,492,19
1064,34,797,28
1065,52,431,10
1066,50,362,20
1067,43,225,5
1068,27,313,13
1069,19,479,18
1070,53,405,17
1071,3,405,29
1072,53,900,8
1073,24,939,13
1074,50,768,24
1075,19,764,13
1076,4,187,17
1077,31,691,19
1078,60,580,25
1079,27,419,11
1080,1,149,26
1081,33,186,20
1082,54,162,14
1083,42,405,6
1084,39,244,8
1085,51,658,9
1086,20,422,5
1087,7,477,18
1088,21,783,18
1089,52,936,18
1090,7,409,13
1091,32,846,15
1092,32,872,15
1093,56,981,11
1094,49,225,5
1095,29,375,18
1096,11,968,5
1097,7,106,15
1098,52,152,9
1099,60,401,7
1100,34,819,13
1101,5,579,5
1102,11,471,8
1103,37,144,22
1104,39,796,29
1105,54,729,22
1106,31,972,23
1107,54,814,29
1108,34,939,2
1109,37,680,15
1110,44,240,29
1111,20,273,1
1112,47,584,16
1113,30,888,13
1114,58,133,14
1115,22,391,8
1116,7,1000,16
1117,29,685,8
1118,42,560,11
1119,34,798,30
1120,9,705,19
1121,24,693,16
1122,53,783,3
1123,37,993,18
1124,39,372,15
1125,48,150,9
1126,4,495,8
1127,20,285,26
1128,23,873,15
1129,23,658,19
1130,31,233,10
1131,13,266,24
1132,3,457,16
1133,30,253,26
1134,11,404,19
1135,45,558,2
1136,34,824,21
1137,6,943,21
1138,39,471,19
1139,2,299,9
1140,25,234,19
1141,26,194,9
1142,54,856,23
1143,26,512,4
1144,29,970,19
1145,47,978,16
1146,1,935,23
1147,11,185,11
1148,40,215,12
1149,9,966,11
1150,19,442,1
1151,4,947,13
1152,23,803,30
1153,4,498,25
1154,47,644,2
1155,50,379,26
1156,56,398,8
1157,45,791,17
1158,13,125,6
1159,4,994,11
1160,3,574,18
1161,23,617,24
1162,37,996,20
1163,57,302,1
1164,59,141,14
1165,13,533,21
1166,9,237,24
1167,19,604,7
1168,4,205,12
1169,46,198,8
1170,33,415,10
1171,46,363,13
1172,25,768,23
1173,1,502,13
1174,39,788,2
1175,57,501,26
1176,5,854,17
1177,53,133,18
1178,14,593,2
1179,54,476,22
1180,16,198,24
1181,15,606,25
1182,46,463,13
1183,34,733,17
1184,13,449,7
1185,22,711,30
1186,18,715,25
1187,21,181,5
1188,35,258,3
1189,16,865,8
1190,26,124,30
1191,33,492,22
1192,10,175,2
1193,6,127,14
1194,26,104,7
1195,50,101,18
1196,46,659,27
1197,45,705,21
1198,43,610,15
1199,59,928,14
1200,49,903,29
1201,47,232,9
1202,26,834,12
1203,7,688,4
1204,38,296,1
1205,16,739,25
1206,29,532,5
1207,7,838,26
1208,46,898,30
1209,20,122,12
1210,47,548,14
1211,7,212,7
1212,50,198,24
1213,11,678,3
1214,3,892,9
1215,19,263,17
1216,20,569,16
1217,4,116,13
1218,23,477,25
1219,56,151,18
1220,60,698,29
1221,21,640,15
1222,52,149,29
1223,39,645,12
1224,32,161,23
1225,30,717,14
1226,12,238,15
1227,11,923,26
1228,25,184,15
1229,45,989,16
1230,11,949,8
1231,20,630,8
1232,30,657,15
1233,51,356,22
1234,39,703,29
1235,15,200,21
1236,49,570,22
1237,40,467,24
1238,44,454,10
1239,56,803,23
1240,55,331,12
1241,8,672,22
1242,55,321,5
1243,54,422,16
1244,9,157,14
1245,37,553,15
1246,19,233,10
1247,56,627,29
1248,27,473,2
1249,48,224,15
1250,29,863,12
1251,9,285,10
1252,48,874,2
1253,16,882,16
1254,13,479,14
1255,59,158,28
1256,42,178,11
1257,8,533,26
1258,57,931,16
1259,44,350,6
1260,45,432,24
1261,14,165,21
1262,58,219,16
1263,53,461,20
1264,54,562,24
1265,4,884,3
1266,41,356,29
1267,60,997,5
1268,18,255,30
1269,17,528,3
1270,1,771,12
1271,30,494,29
1272,18,393,8
1273,4,952,25
1274,20,702,14
1275,1,239,25
1276,35,853,9
1277,52,473,27
1278,19,224,22
1279,53,958,21
1280,16,595,24
1281,23,739,28
1282,7,488,24
1283,50,528,8
1284,32,985,19
1285,47,181,2
1286,29,174,15
1287,27,260,26
1288,55,667,22
1289,9,592,15
1290,42,928,11
1291,52,536,25
1292,37,479,11
1293,20,191,13
1294,56,735,16
1295,39,945,11
1296,6,362,14
1297,3,188,14
1298,43,249,6
1299,1,354,18
1300,6,934,9
1301,25,550,26
1302,3,904,26
1303,21,586,21
1304,18,297,13
1305,15,909,17
1306,23,277,3
1307,58,798,24
1308,50,625,18
1309,59,819,4
1310,21,119,7
1311,17,651,13
1312,32,517,18
1313,9,639,12
1314,24,930,16
1315,50,179,17
1316,4,827,7
1317,58,876,6
1318,35,353,19
1319,60,148,14
1320,27,909,10
1321,37,177,7
1322,16,188,19
1323,5,397,26
1324,43,861,12
1325,39,766,18
1326,50,572,10
1327,11,893,20
1328,47,264,21
1329,51,304,6
1330,59,843,9
1331,46,132,1
1332,38,996,21
1333,9,621,23
1334,6,535,10
1335,1,849,24
1336,58,420,8
1337,12,175,9
1338,26,964,22
1339,16,649,26
1340,46,742,16
1341,10,123,14
1342,1,227,29
1343,22,698,27
1344,34,959,8
1345,19,639,20
1346,54,363,2
1347,51,373,2
1348,24,898,16
1349,50,177,15
1350,34,431,18
1351,58,909,13
1352,8,992,20
1353,7,353,30
1354,24,307,27
1355,8,859,26
1356,4,494,19
1357,28,780,23
1358,42,807,27
1359,36,376,6
1360,33,918,1
1361,27,641,25
1362,16,376,24
1363,34,269,17
1364,21,509,25
1365,30,321,17
1366,20,702,5
1367,21,150,14
1368,36,499,23
1369,54,553,1
1370,12,297,7
1371,60,649,4
1372,28,452,24
1373,3,714,25
1374,44,391,28
1375,10,435,17
1376,9,386,28
1377,33,966,7
1378,49,612,7
1379,38,617,3
1380,33,806,29
1381,17,504,2
1382,46,786,9
1383,37,182,16
1384,36,746,1
1385,15,796,13
1386,54,289,13
1387,12,595,17
1388,9,348,13
1389,19,934,9
1390,9,665,9
1391,24,913,2
1392,28,173,1
1393,22,832,22
1394,42,433,2
1395,43,446,11
1396,23,258,10
1397,35,927,13
1398,49,849,28
1399,19,440,10
1400,16,962,10
1401,30,552,16
1402,17,974,7
1403,12,892,30
1404,60,881,15
1405,19,947,1
1406,51,736,14
1407,51,490,16
1408,33,910,5
1409,56,241,24
1410,7,377,22
1411,8,851,2
1412,49,843,8
1413,11,277,18
1414,29,640,24
1415,55,706,16
1416,47,592,8
1417,31,144,12
1418,51,737,25
1419,44,715,11
1420,52,449,2
1421,55,884,12
1422,25,368,27
1423,5,206,18
1424,10,203,28
1425,40,779,6
1426,10,756,27
1427,41,257,30
1428,38,385,4
1429,5,495,25
1430,33,812,15
1431,21,903,19
1432,55,494,21
1433,3,724,14
1434,36,842,5
1435,11,637,20
1436,31,934,9
1437,12,224,16
1438,35,964,24
1439,27,883,25
1440,7,790,9
1441,26,740,14
1442,23,691,25
1443,23,950,26
1444,16,980,28
1445,24,667,4
1446,29,769,24
1447,23,609,27
1448,46,995,10
1449,12,219,30
1450,26,391,10
1451,31,267,10
1452,56,144,9
1453,52,868,15
1454,2,676,30
1455,57,959,17
1456,24,647,24
1457,55,499,22
1458,36,689,29
1459,23,282,9
1460,11,531,25
1461,1,769,22
1462,37,566,21
1463,25,693,4
1464,27,142,11
1465,21,156,26
1466,20,251,23
1467,45,530,12
1468,34,670,13
1469,50,425,2
1470,3,791,29
1471,25,293,11
1472,47,669,19
1473,28,371,20
1474,15,170,11
1475,5,227,18
1476,1,158,7
1477,33,728,7
1478,34,158,22
1479,27,631,30
1480,23,878,22
1481,10,661,30
1482,21,996,10
1483,41,193,15
1484,50,547,27
1485,5,753,3
1486,44,410,7
1487,49,221,2
1488,34,961,9
1489,44,685,7
1490,38,134,2
1491,21,129,18
1492,33,971,9
1493,26,517,3
1494,24,686,17
1495,45,280,12
1496,39,310,2
1497,44,921,18
1498,30,950,7
1499,2,734,9
1500,37,229,15
1501,19,930,24
1502,56,933,21
1503,52,355,25
1504,22,298,17
1505,10,849,6
1506,57,139,5
1507,2,656,26
1508,58,830,3
1509,28,203,20
1510,4,705,2
1511,13,677,5
1512,46,424,23
1513,36,665,8
1514,50,430,28
1515,49,787,16
1516,58,136,26
1517,3,480,20
1518,13,608,14
1519,18,696,12
1520,22,290,25
1521,18,892,8
1522,53,910,9
1523,45,584,15
1524,52,605,19
1525,46,766,27
1526,4,572,14
1527,38,641,19
1528,51,158,6
1529,16,906,3
1530,16,271,21
1531,22,189,20
1532,22,153,8
1533,35,191,26
1534,37,677,12
1535,20,155,20
1536,20,206,5
1537,51,809,24
1538,23,897,27
1539,44,570,18
1540,12,377,22
1541,55,177,13
1542,36,732,26
1543,17,440,23
1544,57,206,18
1545,31,152,7
1546,29,198,25
1547,1,634,13
1548,34,419,8
1549,44,496,28
1550,32,918,14
1551,12,645,27
1552,6,255,25
1553,29,232,13
1554,38,958,15
1555,20,842,6
1556,33,798,7
1557,2,364,18
1558,39,407,17
1559,48,863,6
1560,23,531,5
1561,7,299,15
1562,51,650,5
1563,16,975,7
1564,60,538,20
1565,38,944,6
1566,50,372,10
1567,40,595,4
1568,13,702,2
1569,16,875,9
1570,29,418,18
1571,24,495,5
1572,29,605,7
1573,6,518,6
1574,6,846,23
1575,2,658,12
1576,41,138,9
1577,42,687,4
1578,19,401,11
1579,32,206,21
1580,23,575,18
1581,3,817,22
1582,28,421,20
1583,59,382,25
1584,26,368,11
1585,50,959,18
1586,33,486,3
1587,25,476,17
1588,7,716,17
1589,8,587,18
1590,10,948,7
1591,26,878,10
1592,39,565,15
1593,15,890,3
1594,13,663,18
1595,31,874,28
1596,59,136,16
1597,7,174,23
1598,2,822,8
1599,3,731,7
1600,37,335,4
1601,25,491,18
1602,10,335,29
1603,37,545,15
1604,33,848,15
1605,31,593,19
1606,47,300,9
1607,3,882,30
1608,41,696,8
1609,38,143,16
1610,52,222,18
1611,26,702,6
1612,13,179,23
1613,52,696,1
1614,10,951,17
1615,24,141,29
1616,4,867,24
1617,50,358,14
1618,6,845,23
1619,44,554,14
1620,35,639,18
1621,35,373,10
1622,7,572,28
1623,41,812,8
1624,46,508,20
1625,40,308,22
1626,40,893,2
1627,40,841,19
1628,60,246,24
1629,12,739,11
1630,48,544,29
1631,43,387,2
1632,23,568,21
1633,33,508,12
1634,13,876,22
1635,24,729,4
1636,34,842,22
1637,26,993,27
1638,22,971,9
1639,24,190,6
1640,44,573,16
1641,27,252,5
1642,1,231,2
1643,7,534,20
1644,60,940,8
1645,4,956,22
1646,52,793,15
1647,24,141,3
1648,39,906,10
1649,19,394,16
1650,59,698,19
1651,46,832,19
1652,11,449,12
1653,51,218,15
1654,9,768,29
1655,14,265,2
1656,52,588,1
1657,40,275,2
1658,9,622,24
1659,51,903,1
1660,55,230,17
1661,55,287,18
1662,12,238,5
